,SMILES1,SMILES2,result
4691,[2H]c1c([2H])c2c([2H])c([2H])c3c([2H])c([2H])c([2H])c4c([2H])c([2H])c(c1[2H])c2c34,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,0
4692,[2H]c1ccc2c(c1)-c1cc([2H])ccc1-c1ccccc1-c1ccccc1-2,COc1cccc(C(N)=O)c1,0
4693,c1cc(CCc2ccncc2)ccn1,Oc1ccc(C(c2ccccc2O)c2ccccc2O)cc1,1
4694,Fc1c(F)c(F)c(C=Cc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,CCCC,0
4695,CC1(C)CC=C(N)N1O,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1
4696,C1CCC23CCCN2CCCC3C1,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1
4697,Nc1nc(-c2noc(C(F)(F)F)n2)n[nH]1,O=C(Nc1nc(-c2noc(C(F)(F)F)n2)n[nH]1)C(F)(F)F,1
4698,C1COC2=C(O1)SC(=C1SC3=C(OCCO3)S1)S2,N#CC(C#N)c1ccc(-c2ccc(C(C#N)C#N)cc2)cc1,1
4699,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,NC(=O)CC[C@H](N)C(=O)O,0
4700,NC(N)=O,O=C(O)c1cccc(O)c1,1
4701,c1cc(-c2nn[nH]n2)ccn1,O=C(O)c1cccc(C(=O)O)c1C(=O)O,1
4702,O=C(O)C=CC(=O)O,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,1
4703,Nc1ncccn1,O=C(O)CN1C(=O)c2ccccc2C1=O,1
4704,O[C@H](c1ccc(F)cc1F)[C@H](c1cnc(F)nc1)n1cncn1,CCCCCCCCCCCCCCCCCc1nc2ccccc2[nH]1,0
4705,OC(c1ccccc1)(c1ccccc1)C1OC2(CCCC2)OC1C(O)(c1ccccc1)c1ccccc1,C=CCN(C(=O)c1ccco1)c1ccccc1,1
4706,CCC1c2cc(c(O)cc2O)C(CC)c2cc(c(O)cc2O)C(CC)c2cc(c(O)cc2O)C(CC)c2cc(c(O)cc2O)C(CC)c2cc(c(O)cc2O)C(CC)c2cc1c(O)cc2O,CC(C)CC1C(=O)N(Br)C(=O)N1Br,0
